,business_id,highlights,delivery or takeout,Grubhub enabled,Call To Action enabled,Request a Quote Enabled,Covid Banner,Temporary Closed Until,Virtual Services Offered
24972,0K-XQZRh_56WCky5REiHmQ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28058,_5izyrn1qV0uyec65UsdIA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
29092,aic7eCND9zYr3O4qwV3-mw,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32212,vgaOy7n8BQFkPb0wzNX9eA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33472,HeK37yyPEv8I4MJU2dVh4A,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
35005,dc2jT85aZGNguurhIwJDbA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35494,bNO_c8Gka2Rkwaub3qVAMQ,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
37528,R9mqW9qeJW4ZrTyDQZ6xvg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41679,-tffAj4Opoadxdm6DkvPpg,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
42316,m-kyYtxJ-0J3yuGsAoAWtQ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
46482,hBqp4v9iKsM-6i56v0MBuQ,"[{""identifier"":""takeout_during_covid_19"",""params"":{},""type"":""covid""},{""identifier"":""delivery_during_covid_19"",""params"":{},""type"":""covid""}]",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
49713,ySstX0NiVRC7I_x_j_VZHw,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51002,T4iG8nhlu3uVnRzRn6660w,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
56940,Pkb75Ma72lVTiLQoqHQkqQ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
56995,YiqMMUXr3GwswdVnlgGUKg,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
59586,tMMEhYse_vbL-hBaI9pIug,"[{""identifier"":""takeout_during_covid_19"",""params"":{},""type"":""covid""},{""identifier"":""delivery_during_covid_19"",""params"":{},""type"":""covid""}]",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
64553,v9P-qBwGI7Axt3-RwcjPQQ,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
64992,d5n_zQMaVZxFKNnS-4ludA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
65168,iBt37-7t5GP2ZRT81yHgew,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
66654,H6DatYLpe0lYdYb37JpMyA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
67258,28adZ4lsuUeVB2aWzohK9g,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
69244,GzFwOScz1yTkoQWxlxI2hw,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
69467,EqNtK4J5CHYQee-qX-WxRQ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
69768,nOu-pkyvRkRH-Cw3t00gyw,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
71667,SlWijsT11hpQitSk77dANw,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
71935,dryad6tDgaGc-WsUUgPbfw,"[{""identifier"":""takeout_during_covid_19"",""params"":{},""type"":""covid""},{""identifier"":""delivery_during_covid_19"",""params"":{},""type"":""covid""}]",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
73055,CM7IDKFxV6p5FdptjXsr8A,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
79417,xFkUn2tIJY0vkcm1Hl5m_A,"[{""identifier"":""takeout_during_covid_19"",""params"":{},""type"":""covid""},{""identifier"":""curbside_pickup_during_covid_19"",""params"":{},""type"":""covid""},{""identifier"":""delivery_during_covid_19"",""params"":{},""type"":""covid""},{""identifier"":""gift_cards_during_covid_19"",""params"":{},""type"":""covid""}]",TRUE,FALSE,TRUE,FALSE,"The health, safety and well-being of our guests and the communities we serve is always our top priority. Over the last few weeks, we have been closely tracking the evolving situation around COVID-19 (commonly known as coronavirus) and are closely monitoring guidance provided by the CDC and local health officials from around the globe where we serve our guests.  Learn more about our response on https://wahlburgers.com",FALSE,FALSE
80447,zBrm-ejSU0QwDlpFyCs9zQ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
80546,qcDFrv2EQU9GeIAAVqdA-g,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
84197,-rKuAcB5suEWKhcUiqr13w,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
84477,j0GIt0EpmpWqms5WbPl5Bw,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
84689,uYko1SzZ9XpTXS-F5xnAdA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
85162,bN9WeldcsIAowZ3p_ubZAA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
87572,vqgfQqPiLw6ghdVgpZ_vJQ,"[{""identifier"":""gift_cards_during_covid_19"",""params"":{},""type"":""covid""},{""identifier"":""delivery_during_covid_19"",""params"":{},""type"":""covid""},{""identifier"":""curbside_pickup_during_covid_19"",""params"":{},""type"":""covid""},{""identifier"":""takeout_during_covid_19"",""params"":{},""type"":""covid""}]",TRUE,FALSE,TRUE,FALSE,FALSE,2020-06-16T00:00:00.000Z,FALSE
89863,_EU8Viz7ng9cXNdIjxwNRQ,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
95691,LBHbyID7tcaGszznHtnCrw,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
101700,EVZXshc4g2TpXLJ-rwVzhw,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
102360,9LimxWLM3URfrCcQsUJ3yg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
105511,htiB-auOhxa6YTp9bAb6lw,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
105843,GM3_MoAgPcyE1ozWxjy-XA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
106578,u0KWFEkp2KCaB0ebmvi4Kw,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
107903,bZgfnQtLXly82_XmLBqOwQ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
108591,mrwpkN8k5Q-X7J5mGQ0NtQ,"[{""identifier"":""takeout_during_covid_19"",""params"":{},""type"":""covid""},{""identifier"":""delivery_during_covid_19"",""params"":{},""type"":""covid""}]",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
109373,Pube7dRYQoptIn0OA0GpdQ,"[{""identifier"":""takeout_during_covid_19"",""params"":{},""type"":""covid""},{""identifier"":""delivery_during_covid_19"",""params"":{},""type"":""covid""}]",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
111040,1laaO5PS8fLK5kPTkSSYsw,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
111467,m02H7wS7LEN7ast4GcPtAA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
111505,nQIlXwUSjnXrR5NaDM246Q,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
111880,WtLUaAAZyD6vyFXO3xLrsw,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
113862,tN-UYJf-mAbwGQMdFbbjiw,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
115813,nfSbDfCZ05G9wb_LjBP4sg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
117205,mYJ9ExVzEGbmayas5DIgKg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
119200,gj7jcal-6RYk1TRjSWAgTg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
124515,BGoh78jgne5RLAz0YY54Ng,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
129009,NYKxikYKbkacWumJ82TxzA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
129195,wPU0o9H3DHw5aBGVTMRlnA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
134561,0W_ICY9MEOIyuZFdChwpnw,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
135535,qaNt4vtVdge_S68DVjw5Jg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
139463,FgHjnpJkCMj62b9P6n7Iig,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
142023,MH3WJlnNHKWCpZ2q7YbuOw,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
142039,3_pqjWhP3js9AQy3Ktm2uw,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
144714,tOL8YMFVyPiXkSYv06AZsQ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
145767,DfLF3QDZq2RA-8J3Adrxhg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
147551,ZpPOiNYi4AHNneI7uco7GQ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
147669,Qa4eXuZ1IFPwnVXJcpZWtw,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
149766,2vBo1wWJckBnGOHhxt9ecg,"[{""identifier"":""takeout_during_covid_19"",""params"":{},""type"":""covid""},{""identifier"":""delivery_during_covid_19"",""params"":{},""type"":""covid""}]",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
151219,PgNobAo2vIOWjf9AJe2xrQ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
153555,MxiIRbKhCgT9Dz0hXg92vw,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
154088,xVXyrTWbG8U3szze-aA7eg,"[{""identifier"":""takeout_during_covid_19"",""params"":{},""type"":""covid""},{""identifier"":""delivery_during_covid_19"",""params"":{},""type"":""covid""}]",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
155467,zkk1ieQQnWtu9TLJukXC0g,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
157695,4MQaqhBUJCpghGukSWNq7w,"[{""identifier"":""gift_cards_during_covid_19"",""params"":{},""type"":""covid""},{""identifier"":""delivery_during_covid_19"",""params"":{},""type"":""covid""},{""identifier"":""curbside_pickup_during_covid_19"",""params"":{},""type"":""covid""},{""identifier"":""takeout_during_covid_19"",""params"":{},""type"":""covid""}]",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
158291,j2BIk42xD13N0vbTgtJghw,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
159109,xllOreUiuLwlPZ2ZG3Ig5w,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
160686,2lHLb0Hi_UtGa1Bne-jZuA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
160739,SlBl7jXhgv85tkuoTz9IOw,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
162437,O1HRTVujjxYZNFUVmEUvEw,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
165155,VNyWT0hLkIHzt5HQ0W4tSg,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
166074,9MA7T15gbbcmKz43r_Ad0g,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
174581,HWJCPFVFBoQ4-kBT7blJUQ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
176728,CZo5aeQpv55NKf0VG9wWEA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
177505,Dv0OHpQSL4hOGl2KAEVvlA,"[{""identifier"":""gift_cards_during_covid_19"",""params"":{},""type"":""covid""},{""identifier"":""delivery_during_covid_19"",""params"":{},""type"":""covid""},{""identifier"":""curbside_pickup_during_covid_19"",""params"":{},""type"":""covid""},{""identifier"":""takeout_during_covid_19"",""params"":{},""type"":""covid""}]",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
177581,XglPmSHg5FovDUJJsty5ig,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
178590,T0QPMLv4XqJwIotyNG4WwA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
178729,GQSmxqRi_s9U9qd5gHLKAw,"[{""identifier"":""gift_cards_during_covid_19"",""params"":{},""type"":""covid""},{""identifier"":""delivery_during_covid_19"",""params"":{},""type"":""covid""},{""identifier"":""curbside_pickup_during_covid_19"",""params"":{},""type"":""covid""},{""identifier"":""takeout_during_covid_19"",""params"":{},""type"":""covid""}]",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
184438,6cL9Z4CY8_jZt0WOqnRJOg,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
184682,aXIJx_kxbmxUioM7Kcokow,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
184852,wDRdIF_5IL6iCao-G8hVHQ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
185458,Smnwx7z2abtuQmSFisUiOA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
190165,cW4IU7Kq6fXI4pDIYDz3tA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
190582,_3rJXHNQsnMnG-M8MHRkhg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
193846,pkPNWdjzIcXWiMJ2krStIQ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
194452,INJ-1LC57mpAsNspyb3CfA,"[{""identifier"":""takeout_during_covid_19"",""params"":{},""type"":""covid""},{""identifier"":""delivery_during_covid_19"",""params"":{},""type"":""covid""}]",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
201070,9eu2lQMROTKdrPyGkwZLYw,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
201129,Y5ADR4UCC2_ZMHbQsLJEPw,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
201260,URvh6DgFyA-d6Z7OVKxczg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
201624,28TtvOd1npZQ-tH7Hm432w,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
202530,ueQaZy0ov0WUKkSPmD1J-Q,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
202624,wNJpk_DvWyqEJfNXhpr2WQ,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
